job-name,id_okpdtr,okpdtr
Слесарь по эксплуатации и ремонту газового оборудования 5 разряда 1 категории (класса),46854.0,Слесарь по эксплуатации и ремонту газового оборудования
Слесарь по обслуживанию тепловых сетей 5 разряда,46831.0,Слесарь по обслуживанию тепловых сетей
Воспитатель,48130.0,Воспитатель
Младший воспитатель,,
Учитель (преподаватель) русского языка и литературы,,
Повар,45921.0,Повар
Учитель (преподаватель) математики,,
Учитель (преподаватель) физики,,
Медицинская сестра палатная (постовая),49378.0,Медицинская сестра патронажная
Рентгенолаборант,49906.0,Рентгенолаборант
Судебный пристав по обеспечению установленного порядка деятельности судов,50123.0,Судебный пристав по обеспечению установленного порядка деятельности судов
Старший специалист,,
Судебный пристав-исполнитель,50122.0,Судебный пристав-исполнитель
Судебный пристав-исполнитель,50122.0,Судебный пристав-исполнитель
Судебный пристав-исполнитель,50122.0,Судебный пристав-исполнитель
Судебный пристав,50121.0,Судебный пристав
Судебный пристав,50121.0,Судебный пристав
Продавец продовольственных товаров,46242.0,Продавец продовольственных товаров
Музыкальный руководитель,49372.0,Музыкальный руководитель
Уборщик территорий,47221.0,Уборщик территорий
Уборщик производственных и служебных помещений,47220.0,Уборщик производственных и служебных помещений
Специалист,50028.0,Специалист
Водитель автомобиля,43277.0,Водитель автомобиля
Рабочий по комплексному обслуживанию и ремонту зданий,46341.0,Рабочий по комплексному обслуживанию и ремонту зданий
Бармен,43128.0,Бармен
Официант,45785.0,Официант
Машинист крана (крановщик) 3 разряда-4 разряда,44486.0,Машинист крана (крановщик)
Токарь 6 разряда,47160.0,Токарь
Учитель-логопед,50255.0,Учитель-логопед
Инструктор,49006.0,Инструктор
Специалист,50028.0,Специалист
Мойщик посуды,44856.0,Мойщик посуды
Продавец непродовольственных товаров,46241.0,Продавец непродовольственных товаров
Повар,45921.0,Повар
Бармен,43128.0,Бармен
Старший обмотчик элементов электрических машин 3 разряда-5 разряда 1 категории (класса),,
Слесарь-электрик по ремонту электрооборудования,46872.0,Слесарь-электрик по ремонту электрооборудования
Слесарь по ремонту автомобилей,46834.0,Слесарь по ремонту автомобилей
Инженер,48799.0,Инженер
Учитель (преподаватель) физики,,
Слесарь-сантехник 3 категории (класса),46858.0,Слесарь-сантехник
Слесарь-сантехник,46858.0,Слесарь-сантехник
Уборщик производственных и служебных помещений 3 категории (класса),47220.0,Уборщик производственных и служебных помещений
Старший помощник юрист,,
Помощник руководителя и специалиста начальник отделения (специализированного в прочих отраслях),,
Первый помощник врач,,
Фельдшер-лаборант,50264.0,Фельдшер-лаборант
Помощник врача-эпидемиолога,49741.0,Помощник врача-эпидемиолога
Химик-эксперт медицинской организации,,
Техник,50145.0,Техник
Продавец продовольственных товаров,46242.0,Продавец продовольственных товаров
Повар,45921.0,Повар
Кладовщик,43976.0,Кладовщик
Подсобный рабочий,45964.0,Подсобный рабочий
Учитель (преподаватель) математики,,
Механизатор (докер-механизатор) комплексной бригады на погрузочно-разгрузочных работах 4 разряда,44817.0,Механизатор (докер-механизатор) комплексной бригады на погрузочно-разгрузочных работах
Грузчик,43447.0,Грузчик
Оператор видеонаблюдения,,
Рабочий в производстве пищевой продукции,,
Кондитер,44053.0,Кондитер
Бухгалтер,48104.0,Бухгалтер
Водитель автомобиля,43277.0,Водитель автомобиля
Подсобный рабочий,45964.0,Подсобный рабочий
Пекарь,45817.0,Пекарь
Воспитатель,48130.0,Воспитатель
Учитель (преподаватель) истории и обществознания,,
Учитель (преподаватель) основ безопасности жизнедеятельности,,
Преподаватель-организатор (в средней школе),49836.0,Преподаватель-организатор (в средней школе)
Учитель (преподаватель) математики,,
Заместитель директор (заведующий) по учебно-воспитательной работе,,
Бухгалтер,48104.0,Бухгалтер
Главный бухгалтер,48219.0,Главный бухгалтер
Помощник руководителя и специалиста директор (заведующий) филиала,,
Тракторист,47189.0,Тракторист
Секретарь,49993.0,Секретарь суда
Бухгалтер,48104.0,Бухгалтер
Электрогазосварщик,47521.0,Электрогазосварщик
Участковый уполномоченный полиции,,
Милиционер патрульно-постовой службы,,
Полицейский-водитель,,
Кинолог,,
Полицейский,,
Оперативный уполномоченный,,
Кондитер,44053.0,Кондитер
Оператор машинного доения,45447.0,Оператор машинного доения
Механик,49320.0,Механик
Бухгалтер,48104.0,Бухгалтер
Бухгалтер,48104.0,Бухгалтер
Диспетчер,48553.0,Диспетчер
Учетчик,50250.0,Учетчик
Бухгалтер,48104.0,Бухгалтер
Бухгалтер,48104.0,Бухгалтер
Кастелянша,43954.0,Кастелянша
Оператор производства формованного полиуретана и пенополиуретана,45564.0,Оператор производства формованного полиуретана и пенополиуретана
Помощник руководителя и специалиста специалист,,
Повар,45921.0,Повар
