address,id_mrigo,mrigo
"Новосибирская область, 633261, рп Ордынское, р-н Ордынский, пр-кт Революции, д. 32, 81.898704, 54.366282",26.0,Ордынский
"Новосибирская область, Ордынский район, Ордынское рабочий поселок, Революции проспект, 32, 633261, рп Ордынское, р-н Ордынский, пр-кт Революции, д. 32, 81.898704, 54.366282",26.0,Ордынский
"Новосибирская область, Ордынский район, Нижнекаменка село, Тупиковая улица, 2а, 81.908325, 54.314664",26.0,Ордынский
"Новосибирская область, Ордынский район, Ордынское рабочий поселок, Революции проспект, 32, 633261, рп Ордынское, р-н Ордынский, пр-кт Революции, д. 32, 81.898704, 54.366282",26.0,Ордынский
"Новосибирская область, 633261, рп Ордынское, р-н Ордынский, пр-кт Революции, д. 32, 81.898704, 54.366282",26.0,Ордынский
"Новосибирская область, 633261, рп Ордынское, р-н Ордынский, пр-кт Революции, д. 32, 81.898704, 54.366282",26.0,Ордынский
"Новосибирская область, г. Новосибирск, Шевченко улица, 15, 82.933779, 55.016394",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Петухова улица, 51, 82.864312, 54.944688",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Петухова улица, 51, 82.864312, 54.944688",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Блюхера улица, 65, 82.900694, 54.990571",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Блюхера улица, 65, 82.900694, 54.990571",23.0,Новосибирск
"Новосибирская область, Купинский район, г. Купино, Советов улица, 70, ТК ""Самоцветы"", 77.291775, 54.362647",19.0,Купинский
"Новосибирская область, г. Новосибирск, Советская улица, 630007, г Новосибирск, ул Советская, д. 7, 82.91557, 55.03298",23.0,Новосибирск
"Новосибирская область, г. Бердск, Ленина улица, 89/15, 83.114591, 54.757571",5.0,Бердск
"Новосибирская область, г. Бердск, Ленина улица, 89/15, 83.114591, 54.757571",5.0,Бердск
"Новосибирская область, г. Новосибирск, Шевченко улица, 34, 82.941845, 55.023537",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Шевченко улица, 34, 82.941845, 55.023537",23.0,Новосибирск
"Новосибирская область, Мошковский район, Мошково рабочий поселок, Народная улица, 108, 83.607075, 55.312794",22.0,Мошковский
"Новосибирская область, Мошковский район, Вороново деревня, Школьная улица, 4, 83.791391, 55.477628",22.0,Мошковский
"Новосибирская область, Доволенский район, Довольное село, Магистральная улица, 2, 79.665573, 54.515272",8.0,Доволенский
"Новосибирская область, Чановский район, Чаны рабочий поселок, юго-восточная часть р.п. Чаны, 700 м от железной дороги, 76.761382, 55.309171",34.0,Чановский
"Новосибирская область, г. Новосибирск, Октябрьская улица, 52, кабинет 106, 82.923583, 55.024579",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Октябрьская улица, 52, кабинет 106, 82.923583, 55.024579",23.0,Новосибирск
"Новосибирская область, г. Новосибирск, Октябрьская улица, 52, кабинет 106, 82.923583, 55.024579",23.0,Новосибирск
"Новосибирская область, г. Бердск, Северный микрорайон, 83.096158, 54.771403",5.0,Бердск
"Новосибирская область, г. Обь, Железнодорожная улица, дом: 7;, 82.712497, 54.991304",25.0,Обь
"Новосибирская область, 633103, г Обь, ул ЖКО Аэропорта, д. 26/2, 82.695788, 54.996123",25.0,Обь
"Новосибирская область, 633103, г Обь, ул ЖКО Аэропорта, д. 26/2, 82.695788, 54.996123",25.0,Обь
"Новосибирская область, г. Обь, Железнодорожная улица, дом: 7;, 82.712497, 54.991304",25.0,Обь
"Новосибирская область, г. Обь, Чехова улица, 633100, г Обь, ул Железнодорожная,7, 82.703343, 54.988112",25.0,Обь
"Новосибирская область, 633103, г Обь, ул ЖКО Аэропорта, д. 26/2, 82.695788, 54.996123",25.0,Обь
"Новосибирская область, 633103, г Обь, ул ЖКО Аэропорта, д. 26/2, 82.695788, 54.996123",25.0,Обь
"Новосибирская область, 633103, г Обь, ул ЖКО Аэропорта, д. 26/2, 82.695788, 54.996123",25.0,Обь
"Новосибирская область, 633103, г Обь, ул ЖКО Аэропорта, д. 26/2, 82.695788, 54.996123",25.0,Обь
"Новосибирская область, г. Обь, Железнодорожная улица, 7, 82.712497, 54.991304",25.0,Обь
"Новосибирская область, г. Обь, Железнодорожная улица, 7, 82.712497, 54.991304",25.0,Обь
"Новосибирская область, 633103, г Обь, ул ЖКО Аэропорта, д. 26/2, 82.695788, 54.996123",25.0,Обь
"Новосибирская область, г. Обь, Железнодорожная улица, 7, г Обь, ул Железнодорожная, д. 7, 82.712497, 54.991304",25.0,Обь
"Новосибирская область, г. Обь, Железнодорожная улица, 7, 82.712497, 54.991304",25.0,Обь
"Новосибирская область, 633103, г Обь, ул ЖКО Аэропорта, д. 26/2, 82.695788, 54.996123",25.0,Обь
"Новосибирская область, 633103, г Обь, ул ЖКО Аэропорта, д. 26/2, 82.695788, 54.996123",25.0,Обь
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 633561, рп Маслянино, р-н Маслянинский, ул Больничная, д. 2, 84.222008, 54.325593",21.0,Маслянинский
"Новосибирская область, 630108, г Новосибирск, ул Станционная, д. 30а, 82.853056, 54.998003",23.0,Новосибирск
"Новосибирская область, 630108, г Новосибирск, ул Станционная, д. 30а, 82.853056, 54.998003",23.0,Новосибирск
"Новосибирская область, 630108, г Новосибирск, ул Станционная, д. 30а, 82.853056, 54.998003",23.0,Новосибирск
"Новосибирская область, 630108, г Новосибирск, ул Станционная, д. 30а, 82.853056, 54.998003",23.0,Новосибирск
"Новосибирская область, 630108, г Новосибирск, ул Станционная, д. 30а, 82.853056, 54.998003",23.0,Новосибирск
"Новосибирская область, 630108, г Новосибирск, ул Станционная, д. 30а, 82.853056, 54.998003",23.0,Новосибирск
"Новосибирская область, 630108, г Новосибирск, ул Станционная, д. 30а, 82.853056, 54.998003",23.0,Новосибирск
"Новосибирская область, 632402, г Каргат, р-н Каргатский, ул Советская, д. Дом  52А, 80.299927, 55.189455",13.0,Каргатский
"Новосибирская область, 630108, г Новосибирск, пл Труда, д. 1, оф. 306, 82.868246, 54.9954",23.0,Новосибирск
"Новосибирская область, 630099, г Новосибирск, ул Советская, д. 33, 4 этаж, 82.916225, 55.029239",23.0,Новосибирск
"Новосибирская область, 630027, г Новосибирск, ул Дунаевского, д. 23, 82.977796, 55.10412",23.0,Новосибирск
"Новосибирская область, 630027, г Новосибирск, ул Дунаевского, д. 23, 82.977796, 55.10412",23.0,Новосибирск
"Новосибирская область, 630027, г Новосибирск, ул Дунаевского, д. 23, 82.977796, 55.10412",23.0,Новосибирск
"Новосибирская область, 630027, г Новосибирск, ул Дунаевского, д. 23, 82.977796, 55.10412",23.0,Новосибирск
"Новосибирская область, 632551, г Чулым, р-н Чулымский, пер Пролетарский, д. 5, 80.967825, 55.09203",37.0,Чулымский
